"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"218","ILMN_2193213",-1.92277616538782,7.17044342291049,-6.69294749073626,2.6223214019174e-09,4.66427517454416e-08,10.847479403249,"DEFA3","defensin alpha 3"
"219","ILMN_2193213",-1.92277616538782,7.17044342291049,-6.69294749073626,2.6223214019174e-09,4.66427517454416e-08,10.847479403249,"DEFA1B","defensin alpha 1B"
"220","ILMN_2205470",1.06102127346286,7.86904595892414,8.50620586693872,7.52404415733324e-13,3.08969966335569e-11,18.8625285042162,"FAM153B","protein FAM153B"
"221","ILMN_2205470",1.06102127346286,7.86904595892414,8.50620586693872,7.52404415733324e-13,3.08969966335569e-11,18.8625285042162,"FAM153CP","protein FAM153C"
"222","ILMN_2206272",1.23148463470691,9.14249685502633,11.1305607772813,5.35851296081875e-18,9.33765372921419e-16,30.5411931525201,"D2HGDH","D-2-hydroxyglutarate dehydrogenase"
"223","ILMN_2207505",1.11205759274551,9.20392649635006,8.38721283113417,1.29310753482153e-12,4.92068575539178e-11,18.3293446105434,"LEP","leptin"
"224","ILMN_2214678",-1.71616371008859,8.42527596162484,-13.2549594084407,5.47241259457664e-22,3.69184589094696e-19,39.5835872004857,"MXD1","MAX dimerization protein 1"
"225","ILMN_2216265",1.07282093828677,7.79923088345183,14.5641870665199,2.46979234353143e-24,3.97685848240409e-21,44.8838029137452,"LONP2","lon peptidase 2, peroxisomal"
"226","ILMN_2228196",1.10547244059416,8.56277638157127,9.48187727071839,8.87177097614422e-15,6.01091122779676e-13,23.2370212044558,"TBC1D32","TBC1 domain family member 32"
"227","ILMN_2229649",-1.28388970934419,5.5161518809299,-5.90990740693492,7.75491029025626e-08,1.04484417559789e-06,7.5363159386459,"KCTD12","potassium channel tetramerization domain containing 12"
"228","ILMN_2233050",1.12465611364607,8.10875588742079,9.07543764189429,5.63290731929189e-14,3.05405758032423e-12,21.4156970839937,"PLA2G2D","phospholipase A2 group IID"
"229","ILMN_2241953",-1.40494843920466,7.44499600098375,-10.433173862199,1.20499150436508e-16,1.34208770759756e-14,27.4738769365299,"PILRA","paired immunoglobin like type 2 receptor alpha"
"230","ILMN_2243516",1.06840917100879,8.40305917312771,8.00168647995685,7.45317859729999e-12,2.34959216341051e-10,16.6054553990779,"JHY","junctional cadherin complex regulator"
"231","ILMN_2261600",-1.27060615441583,6.24504766350333,-7.05720271722937,5.22732966545008e-10,1.06956419463264e-08,12.4287543992987,"FCGR1A","Fc gamma receptor Ia"
"232","ILMN_2261600",-1.27060615441583,6.24504766350333,-7.05720271722937,5.22732966545008e-10,1.06956419463264e-08,12.4287543992987,"FCGR1BP","Fc gamma receptor Ib, pseudogene"
"233","ILMN_2261600",-1.27060615441583,6.24504766350333,-7.05720271722937,5.22732966545008e-10,1.06956419463264e-08,12.4287543992987,"FCGR1CP","Fc gamma receptor Ic, pseudogene"
"234","ILMN_2270845",1.07647800319298,7.9373655843943,9.32540288132973,1.8064528381592e-14,1.1359244850763e-12,22.5362892400864,"WDR74","WD repeat domain 74"
"235","ILMN_2271875",-1.13921239617384,7.3058980315717,-5.85360410309581,9.84153397499342e-08,1.29856552231095e-06,7.30397952772228,"ALAS2","5'-aminolevulinate synthase 2"
"236","ILMN_2273224",1.02611079603344,8.93716452945386,7.61473576671034,4.29120612329109e-11,1.12308944731292e-09,14.8839883717724,"SLC4A5","solute carrier family 4 member 5"
"237","ILMN_2279367",1.059148096224,10.8038027076251,11.2107057545365,3.75679072646589e-18,6.87638314986919e-16,30.8910236672428,"FCAR","Fc alpha receptor"
"238","ILMN_2283325",-1.17334794949553,6.2988365736674,-10.6568340703458,4.42154394072975e-17,5.75214851396754e-15,28.4618661400288,"WLS","Wnt ligand secretion mediator"
"239","ILMN_2289849",-1.47087980965189,8.24730516894078,-10.6704697853403,4.15988622863098e-17,5.47204644180695e-15,28.5219772728668,"FCGR2A","Fc gamma receptor IIa"
